city,city_gdp,city_population,country,emission,emission_target,target,baseline_year,year,year_status,factors,sector
Saskatoon,,,Canada,3852171.0,2050,80.0,2014,2017,,,Total
Seattle,,,USA,3647000.0,2050,100.0,2008,2017,,,Total
Shenzhen,,,China,1.48,,45.0,2005,2017,,,Other: Total city-wide emissions
"Somerville, MA",,,USA,609561.0,2050,100.0,2014,2017,,,Total
St Louis,,,USA,8081418.0,2050,80.0,2005,2017,,,Total
Stockholm,,,Sweden,3668000.0,2040,100.0,1990,2017,,,Total
Sydney,,,Australia,5920000.0,2030,70.0,2005,2017,,,Total
"Takoma Park, MD",,,USA,94572.0,2050,80.0,2012,2017,,,
Toronto,,,Canada,27051617.0,2050,80.0,,2017,,,Total
Turku,,,Finland,970000.0,2040,100.0,2013,2017,,,Total
Vancouver,,,Canada,1300000.0,2020,20.0,2007,2017,,,Buildings
West Hollywood,,,USA,,2035,25.0,2008,2017,,,
West Palm Beach,,,USA,1484767.0,2025,25.0,2013,2017,,,Total
Windsor,,,Canada,9.0,,40.0,2014,2017,,,Other: Total
Winnipeg,,,Canada,5257324.0,,6.0,1998,2017,,,Total
Wroclaw,,,Poland,4422676.0,2020,21.0,1990,2017,,,Total
Yokohama,,,Japan,,2020,,2005,2017,,,Other: Absorption through forests and tree planting
Zaragoza,,,Spain,,2020,20.0,2010,2017,,,
Mendoza,,,Argentina,,,,,2017,,,
Nancy,,,France,,2020,20.0,1990,2017,,,
Bolzano,,,Italy,,2020,23.0,2010,2017,,,
Ferrara,,,Italy,,2020,25.5,2007,2017,,,Total
Firenze,,,Italy,2519980.0,2050,80.0,2005,2017,,,Total
Genova,,,Italy,,2020,23.0,2005,2017,,,
Milano,,,Italy,7418000.0,2020,20.0,2005,2017,,,Total
Monza,,,Italy,541850.0,2020,24.8,2005,2017,,,Total
Napoli,,,Italy,,2020,25.0,2005,2017,,,
Olbia,,,Italy,,2020,25.23,2009,2017,,,
Oristano,,,Italy,,2020,,2016,2017,,,Public buildings
Padova,,,Italy,,2020,20.0,2005,2017,,,Total
Parma,,,Italy,6.0,,20.0,2004,2017,,,Other: Total
Piacenza,,,Italy,,2020,20.4,1990,2017,,,
Ravenna,,,Italy,,2020,23.9,2007,2017,,,
Udine,,,Italy,,2020,20.0,2006,2017,,,
Venezia,,,Italy,1494744.0,2020,23.0,2005,2017,,,Total
"Washington, DC",,,USA,10101895.0,2032,80.0,2006,2017,,,Total
Quito,,,Ecuador,0.0,,,2015,2017,,,Wastewater
Dublin,,,Ireland,,2020,20.0,2006,2017,,,
Egedal,,,Denmark,268000.0,2020,7.0,2009,2017,,,Total
Elsinore,,,Denmark,415000.0,2050,100.0,2008,2017,,,Total
Fafe,,,Portugal,38991.0,2020,21.0,2008,2017,,,Total
Fredensborg,,,Denmark,,2050,100.0,2010,2017,,,Total
Frederikshavn,,,Denmark,547000.0,2030,100.0,2010,2017,,,Total
Hamburg,,,Germany,,2030,50.0,1990,2017,,,
Gdańsk,,,Poland,,2020,21.0,2013,2017,,,
Groningen,,,Netherlands,900000.0,2035,100.0,2006,2017,,,Total
Rotterdam,,,Netherlands,23700000.0,2020,25.0,1990,2017,,,Total
Gladsaxe,,,Denmark,499740.0,2020,40.0,2007,2017,,,Total
Glasgow,,,United Kingdom,39873000.0,2020,30.0,2006,2017,,,
Tarija,,,Bolivia,,,,,2017,,,
,,,,,2020,20.0,2013,2017,,,
Seoul ,,,South Korea,,,,,2017,,,
Hong Kong,,,Hong Kong,0.0,,65.0,2005,2017,,,Other: Total
London ,,,United Kingdom,45050000.0,2050,80.0,1990,2017,,,Total
Manchester,,,United Kingdom,21200000.0,2020,48.0,1990,2017,,,Total
Hoeje-Taastrup,,,Denmark,312026.0,2050,95.0,2012,2017,,,Total
Hørsholm,,,Denmark,,2020,20.0,2010,2017,,,
Hsinchu City,,,Taiwan,805953.0,2026,17.0,2013,2017,,,Total
Hsinchu County,,,Taiwan,,2025,10.0,2011,2017,,,
Iskandar ,,,Malaysia,11.0,,58.0,2005,2017,,,Other:
Kaohsiung,,,Taiwan,67326998.0,2020,,2005,2017,,,Stationary energy (buildings)
Magdeburg,,,Germany,,2050,86.0,2012,2017,,,
Lejre,,,Denmark,,2020,30.0,2011,2017,,,
Los Altos Hills,,,USA,,2025,30.0,2005,2017,,,
Malmö,,,Sweden,,,,,2017,,,
Lima,,,Peru,3093113.0,2025,,2015,2017,,,Waste
Middelfart,,,Denmark,362234.0,2025,50.0,2010,2017,,,Total
Magdalena del Mar,,,Peru,,2030,30.0,2015,2017,,,
Providencia,,,Chile,,,,,2017,,,
San Isidro,,,Argentina,,,,,2017,,,
San Isidro (Lima),,,Peru,110623.19,2020,,2015,2017,,,Waste
Arendal,,,Norway,,,76.0,2009,2017,,,Other: Total
Belo Horizonte,,,Brazil,3.2,2030,20.0,2007,2017,,,Total
Cainta,,,Philippines,7673.0,"",,2017,2017,,,Waste
Recife,,,Brazil,601390.0,2040,,2012,2017,,,Waste
Braga,,,Portugal,,2020,20.0,2008,2017,,,Total
Guimarães,,,Portugal,146651.0,2020,20.0,2008,2017,,,Total
Moita,,,Portugal,,2020,20.0,2008,2017,,,
New Taipei ,,,Taiwan,510068.0,2030,25.0,2005,2017,,,Waste
New York City,,,USA,61060000.0,2050,80.0,2005,2017,,,Total
Pasig,,,Philippines,,2020,10.0,2010,2017,,,Total
Pingtung ,,,Taiwan,,2030,30.0,2013,2017,,,
Cuiabá,,,Brazil,,,,,2017,,,
Florianópolis,,,Brazil,,2020,42.0,2013,2017,,,
Palmas,,,Brazil,,,,,2017,,,
Rio de Janeiro,,,Brazil,11402180.0,2020,20.0,2005,2017,,,Total
Durham,,,Canada,5021342.0,2050,80.0,2007,2017,,,Total
Riga,,,Latvia,4295.0,2020,54.0,1990,2017,,,Total
Ringkøbing-Skjern,,,Denmark,491364.0,2020,100.0,2007,2017,,,Total
Salt Lake City,,,USA,4943904.0,2040,80.0,2009,2017,,,
Santarém,,,Portugal,337112.0,2020,21.0,2006,2017,,,Total
Singapore ,,,Singapore,0.18,2030,36.0,2005,2017,,,Other: Nation-wide
Sonderborg,,,Denmark,4763894.0,2029,100.0,2007,2017,,,
Heidelberg,,,Germany,915000.0,2050,95.0,1990,2017,,,Total
Zürich,,,Switzerland,,2050,82.0,2005,2017,,,Total
Taichung,,,Taiwan,,2022,10.0,2011,2017,,,Total
Tainan ,,,Taiwan,19510422.0,2030,20.0,2005,2017,,,Total
Taipei,,,Taiwan,,,,,2017,,,
Taoyuan,,,Taiwan,30474326.0,2050,50.0,2005,2017,,,Total
Tarnów,,,Poland,,2020,8.46,2013,2017,,,
Tartu,,,Estonia,,,,,2017,,,
Tbilisi,,,Georgia,,2020,24.0,2010,2017,,,
Tel Aviv-Yafo ,,,Israel,,2020,20.0,2000,2017,,,
The Hague,,,Netherlands,3000000.0,2040,100.0,1990,2017,,,Total
Tokyo,,,Japan,62100000.0,2030,30.0,2000,2017,,,Total
Torres Vedras ,,,Portugal,,2020,29.0,2009,2017,,,
"Ajax, ON",,,Canada,521620.0,2020,6.0,2005,2017,,,Total
Blacksburg,,,USA,276411.0,2050,80.0,1990,2017,,,Other: Public
"Vail, CO",,,USA,,2020,20.0,2009,2017,,,
Kadiovacik,,,Turkey,,,,,2017,,,
Ville de Kinshasa,,,Democratic Republic of Congo,,,,,2017,,,
Monaco,,,Monaco,,2020,22.0,1990,2017,,,
Montreal,,,Canada,14786.0,2020,30.0,1990,2017,,,Total
Nyon,,,Switzerland,3.0,,46.0,2016,2017,,,Stationary energy (buildings)
Salaberry-de-Valleyfield,,,Canada,,2020,20.0,2009,2017,,,
Vilnius ,,,Lithuania,1734000.0,2020,26.2,2003,2017,,,Total
Wellington,,,New Zealand,92832.0,2050,80.0,2014,2017,,,Other: Corporate
Yala,,,Argentina,,,,,2017,,,
Shenzhen,,17662000.0,China,,,,,2023,,"Assessment considers nature; Assessment considers transition risks; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Identified hazards have been incorporated into the jurisdictions overall risk management framework; None of the above",
Boise,,236634.0,United States of America,,,,,2023,,Assessment considers water security,
Piraquara,,118730.0,Brazil,,,,,2023,,Assessment considers nature; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Mar del Plata,,650332.0,Argentina,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",
Ville de Kinshasa,,0.0,Democratic Republic of the Congo,,,,,2023,,Assessment includes sectors and/or urban systems,
Siliguri,,811532.0,India,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",
Palmas,,302692.0,Brazil,,,,,2023,,A process has been established for prioritizing identified hazards,
West Palm Beach,,120932.0,United States of America,,,,,2023,,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Comas,,650000.0,Peru,,,,,2023,,Assessment considers vulnerable populations; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Manizales,,434403.0,Colombia,,,,,2023,,"Other, please specify: Tiene en cuenta las siguientes dimensiones Salud, Biodiversidad y Servicios Ecosistémicos, Recurso Hídrico, Seguridad Alimentaria, Hábitat Humano e Infraestructura y cuenta con los siguientes componentes  Amenaza, Sensibilidad y Capacidad Adaptativa",
Åseda,,9418.0,Sweden,,,,,2023,,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
St. John’s,,110525.0,Canada,,,,,2023,,,
Yaoundé 4,,1051689.0,Cameroon,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework; Other, please specify: sur l’accès des populations aux services sociaux de base et l’énergie propre",
Chihuahua,,937674.0,Mexico,,,,,2023,,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Lilongwe,,1513234.0,Malawi,,,,,2023,,Assessment considers nature; Assessment considers water security,
Bridgewater,,8790.0,Canada,,,,,2023,,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,
Wollongong,,220659.0,Australia,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Huddersfield,,441290.0,United Kingdom of Great Britain and Northern Ireland,,,,,2023,,"Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",
la Ciudad de Paraná,,277251.0,Argentina,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",
"Portland, OR",,812563.0,United States of America,,,,,2023,,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security,
Évora,,53591.0,Portugal,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Guarulhos,,1291784.0,Brazil,,,,,2023,,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Jeonju-si,,651495.0,Republic of Korea,,,,,2023,,A process has been established for prioritizing identified hazards,
Changwon,,1035402.0,Republic of Korea,,,,,2023,,"Assessment considers nature; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes sectors and/or urban systems",
Saint John,,73611.0,Canada,,,,,2023,,"Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Wuhan,,13739000.0,China,,,,,2023,,"A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Boa Vista,,413486.0,Brazil,,,,,2023,,Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Sheffield,,556500.0,United Kingdom of Great Britain and Northern Ireland,,,,,2023,,"Assessment considers nature; Assessment considers transition risks; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Santos,,418608.0,Brazil,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Torres Vedras,,83075.0,Portugal,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Göteborg,,596841.0,Sweden,,,,,2023,,"Assessment considers nature; Assessment considers transition risks; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Other, please specify: The city has mapped the areas threatened by flooding in the form of rising sea levels, high flows and increased volumes in watercourses and downfalls. These mappings are the basis for the recommendations in the risk assessment.",
Valdivia,,167000.0,Chile,,,,,2023,,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes sectors and/or urban systems,
Fremont,,230504.0,United States of America,,,,,2023,,"Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Thunder Bay,,108843.0,Canada,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Recife,,1488920.0,Brazil,,,,,2023,,"Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Hong Kong,,7346100.0,"China, Hong Kong Special Administrative Region",,,,,2023,,Assessment considers nature; Assessment considers water security,
Puerto Princesa,,307079.0,Philippines,,,,,2023,,A process has been established for prioritizing identified hazards; Assessment considers nature; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Yeosu-si,,274765.0,Republic of Korea,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Vitoria-Gasteiz,,256743.0,Spain,,,,,2023,,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Middelfart,,40000.0,Denmark,,,,,2023,,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature,
Kyoto,,1448964.0,Japan,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework; Other, please specify: 生物多様性、農林業、食品、産業、商業、公衆衛生、地域社会及び文化、危機管理、観光、健康",
Ottawa,,1067310.0,Canada,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",
North Vancouver,,58120.0,Canada,,,,,2023,,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,
Charlotte,,897720.0,United States of America,,,,,2023,,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Orlando,,319793.0,United States of America,,,,,2023,,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Aarhus,,362235.0,Denmark,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Iowa City,,74582.0,United States of America,,,,,2023,,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Delhi,,20600000.0,India,,,,,2023,,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems,
Chapala,,656863.0,Mexico,,,,,2023,,Assessment considers vulnerable populations,
Mendoza,,120460.0,Argentina,,,,,2023,,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems,
Addis Ababa,,3126469.0,Ethiopia,,,,,2023,,"A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Porto,,231962.0,Portugal,,,,,2023,,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Tampico,,297562.0,Mexico,,,,,2023,,"Assessment considers vulnerable populations; Other, please specify: Es una revisión preliminar basada en datos públicos disponibles para la ciudad, con el objetivo de detectar las fuentes y carencias de información.",
Guadalajara,,5243392.0,Mexico,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Providencia,,142079.0,Chile,,,,,2023,,Assessment considers nature; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
San Isidro (Lima),,64470.0,Peru,,,,,2023,,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Bangalore,,13000000.0,India,,,,,2023,,"Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",
Tiruchirappalli,,1081234.0,India,,,,,2023,,Assessment considers vulnerable populations,
Murcia,,463150.0,Spain,,,,,2023,,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,
Iida-shi,,96507.0,Japan,,,,,2023,,Assessment considers transition risks,
Colina,,146207.0,Chile,,,,,2023,,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes sectors and/or urban systems,
Saint Paul,,307193.0,United States of America,,,,,2023,,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Greensboro,,301115.0,United States of America,,,,,2023,,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Figueira da Foz,,59348.0,Portugal,,,,,2023,,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers water security; Assessment includes consultation with partners; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Las Vegas,,667679.0,United States of America,,,,,2023,,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Paraíso,,60000.0,Costa Rica,,,,,2023,,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,
"Lexington, MA",,34454.0,United States of America,,,,,2023,,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Guelph,,146175.0,Canada,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems",
Krakow,,803282.0,Poland,,,,,2023,,"A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",
Calgary,,1348600.0,Canada,,,,,2023,,"A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Matosinhos,,172557.0,Portugal,,,,,2023,,"Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",
Tacoma,,219205.0,United States of America,,,,,2023,,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems",
Kingston,,132485.0,Canada,,,,,2023,,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Qingdao,,10342100.0,China,,,,,2023,,"Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes sectors and/or urban systems",
Ciudad Madero,,205933.0,Mexico,,,,,2023,,Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Gondar,,479000.0,Ethiopia,,,,,2023,,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Hove,,277200.0,United Kingdom of Great Britain and Northern Ireland,,,,,2023,,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Mafra,,86523.0,Portugal,,,,,2023,,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years,
St Catharines,,136803.0,Canada,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",
Gaziantep,,2130432.0,Turkey,,,,,2023,,,
Naga,,209170.0,Philippines,,,,,2023,,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Pasto,,350000.0,Colombia,,,,,2023,,"Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Kisumu,,1155574.0,Kenya,,,,,2023,,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Tokyo,,14034861.0,Japan,,,,,2023,,"Other, please specify: 行政機能（警察消防等）、健康医療福祉、情報通信、経済産業、教育文化、環境、まちづくり。(P4)",
Hutt City,,112800.0,New Zealand,,,,,2023,,Assessment considers nature; Assessment considers vulnerable populations; Assessment includes sectors and/or urban systems,
Prague,,1365642.0,Czechia,,,,,2023,,"A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",
Lappeenranta,,72646.0,Finland,,,,,2023,,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,
Ekurhuleni,,3774638.0,South Africa,,,,,2023,,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations,
Miami Beach,,80017.0,United States of America,,,,,2023,,Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Wakefield,,353802.0,United Kingdom of Great Britain and Northern Ireland,,,,,2023,,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
Bogotá,,7181469.0,Colombia,,,,,2023,,"A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",
Belo Horizonte,,2375151.0,Brazil,,,,,2023,,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",
Peterborough,,83651.0,Canada,,,,,2023,,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework; Other, please specify: Built environment, economic, and social impacts from extreme weather were also considered",
Treviso,,84607.0,Italy,,,,,2023,,Assessment considers nature; Identified hazards have been incorporated into the jurisdictions overall risk management framework,
