city,city_gdp,city_population,country,emission,emission_target,target,baseline_year,year,year_status,factors,sector
City of Burlington,12700000.0,42284.0,USA,,,,,2016,Decreased,,
City of Johannesburg,337000000000.0,4764381.0,South Africa,,,,,2016,Decreased,,
Comune di Torino,26933203382.0,898714.0,Italy,,,,,2016,Decreased,,
"City of Davis, CA",,65600.0,USA,,,,,2016,Decreased,,
City of Lisbon,68133192.0,547773.0,Portugal,,,,,2016,Decreased,,
Barreiro,,78764.0,Portugal,,,,,2016,Increased,,
Comune di Genova,25977591566.0,592995.0,Italy,,,,,2016,Other,,
City of Indianapolis,125000000000.0,850000.0,USA,,,,,2016,This is our first year of calculation,,
Abington Township,,55310.0,USA,,,,,2016,Decreased,,
City of Ljubljana,8220687536.0,287218.0,Slovenia,,,,,2016,This is our first year of calculation,,
Comune di Ravenna,,158911.0,Italy,,,,,2016,Decreased,,
Free and Hanseatic City of Hamburg,102500000000.0,1762791.0,Germany,,,,,2016,Decreased,,
City of Buenos Aires,78326876513.0,3054267.0,Argentina,,,,,2016,Decreased,,
City of Bournemouth,,191400.0,United Kingdom,,,,,2016,Decreased,,
City of Porto,,238954.0,Portugal,,,,,2016,Decreased,,
Tokyo Metropolitan Government,92900000000000.0,13513734.0,Japan,,,,,2016,Stayed the same,,
Bogotá Distrito Capital,50464206.0,7878783.0,Colombia,,,,,2016,Decreased,,
Ayuntamiento de San Luis Potosí,183992.0,824229.0,Mexico,,,,,2016,Increased,,
Pretoria - Tshwane,2739000000.0,3200000.0,South Africa,,,,,2016,Increased,,
City of Denver,187111000000.0,663862.0,USA,,,,,2016,Decreased,,
City of Iowa City,8564000000.0,73415.0,USA,,,,,2016,Decreased,,
City of Copenhagen,308279000000.0,591481.0,Denmark,,,,,2016,Decreased,,
Roma Capitale,90965338.0,2868347.0,Italy,,,,,2016,Decreased,,
Metropolitan Government of Nashville and Davidson County,106695000000.0,678889.0,USA,,,,,2016,Decreased,,
City of Goiânia,30131330.0,2173141.0,Brazil,,,,,2016,,,
Comune di Piacenza,,102269.0,Italy,,,,,2016,,,
City of Stockholm,416797.0,901989.0,Sweden,,,,,2016,Decreased,,
Município de Moita,,66029.0,Portugal,,,,,2016,Decreased,,
City of Cleveland,,396815.0,USA,,,,,2016,This is our first year of calculation,,
Prefeitura de Sorocaba,44950031.0,644919.0,Brazil,,,,,2016,Other,,
City of Calgary,93000000000.0,1203915.0,Canada,,,,,2016,Decreased,,
City of Boulder,22354000000.0,104810.0,USA,,,,,2016,Other,,
City of Winnipeg,35000000000.0,718400.0,Canada,,,,,2016,Decreased,,
Cascais,,208122.0,Portugal,,,,,2016,Decreased,,
City of Sydney,110000000000.0,205339.0,Australia,,,,,2016,Decreased,,
"City of Arlington, VA",18871919000.0,216700.0,USA,,,,,2016,Decreased,,
City of San Francisco,89205219000.0,864816.0,USA,,,,,2016,Other,,
City of Eugene,,151190.0,USA,,,,,2016,Decreased,,
Auckland Council,81186000.0,1569900.0,New Zealand,,,,,2016,Increased,,
City of Hamilton,22228328.0,519949.0,Canada,,,,,2016,Decreased,,
Los Altos Hills,,8334.0,USA,,,,,2016,Decreased,,
City of St Louis,149900000000.0,319294.0,USA,,,,,2016,Decreased,,
Comune di Milano,,1350680.0,Italy,,,,,2016,,,
City of Yonkers,,199766.0,USA,,,,,2016,Decreased,,
City of Reykjavík,6248000000.0,122460.0,Iceland,,,,,2016,Increased,,
Government of Hong Kong Special Administrative Region,310000000000.0,7305700.0,Hong Kong,,,,,2016,Increased,,
Alcaldía Metropolitana de Caracas,54000000000.0,3518590.0,Venezuela,,,,,2016,Increased,,
Town of Blacksburg,,43985.0,USA,,,,,2016,Other,,
City of Lahti,6057000000.0,120432.0,Finland,,,,,2016,Decreased,,
City of Yokohama,104000000000.0,3719589.0,Japan,,,,,2016,Increased,,
City of Nagoya,11847100000000.0,2274511.0,Japan,,,,,2016,Decreased,,
City of Hiroshima,4874634000000.0,1191030.0,Japan,,,,,2016,,,
City of Adelaide,18360000000.0,23169.0,Australia,,,,,2016,Decreased,,
Bornova Municipality,,416007.0,Turkey,,,,,2016,This is our first year of calculation,,
City of Benicia,23000000.0,27450.0,USA,,,,,2016,Increased,,
City of Detroit,186000000000.0,688701.0,USA,,,,,2016,Stayed the same,,
City of Paris,153000000000.0,2265886.0,France,,,,,2016,Decreased,,
Suwon City,12443320800000.0,1221973.0,South Korea,,,,,2016,Increased,,
Taoyuan City Hall,529600000000.0,2114172.0,Taiwan,,,,,2016,Increased,,
City of Ærøskøbing,,6200.0,Denmark,,,,,2016,Decreased,,
"City of Lancaster, PA",,60000.0,USA,,,,,2016,This is our first year of calculation,,
City of Los Angeles,797697000000.0,3928864.0,USA,,,,,2016,Decreased,,
"City of Portland, OR",163692000000.0,619360.0,USA,,,,,2016,Decreased,,
City of Durban,2308000000.0,3555868.0,South Africa,,,,,2016,Increased,,
Estância Turística de Guaratinguetá,825170000.0,,Brazil,,,,,2016,This is our first year of calculation,,
City of New Orleans,80278000000.0,389617.0,USA,,,,,2016,This is our first year of calculation,,
Santiago de Cali,4540.0,2369829.0,Colombia,,,,,2016,,,
City of San Antonio,93198982910.0,1400000.0,USA,,,,,2016,,,
City of Savannah,15905000000.0,144355.0,USA,,,,,2016,This is our first year of calculation,,
"City of Piedmont, CA",360400000000.0,11082.0,USA,,,,,2016,Decreased,,
City of West Hollywood,,34399.0,USA,,,,,2016,This is our first year of calculation,,
City of Pittsburgh,135662.0,305704.0,USA,,,,,2016,Decreased,,
"City of Alton, IL",,26581.0,USA,,,,,2016,This is our first year of calculation,,
"City of Lake Forest, IL",,19375.0,USA,,,,,2016,This is our first year of calculation,,
City of Santa Monica,,92000.0,USA,,,,,2016,Decreased,,
City of Austin,,888204.0,USA,,,,,2016,Decreased,,
"City of Somerville, MA",,78900.0,USA,,,,,2016,This is our first year of calculation,,
City of Tucson,35717000.0,529845.0,USA,,,,,2016,Decreased,,
City of Okayama,2066421.0,705917.0,Japan,,,,,2016,,,
Batangas City,,332458.0,Philippines,,,,,2016,,,
Greater Amman Municipality,10697000000.0,3604459.0,Jordan,,,,,2016,This is our first year of calculation,,
"City of Brisbane, CA",,4603.0,USA,,,,,2016,Decreased,,
Santarém,,61752.0,Portugal,,,,,2016,,,
Torres Vedras Municipality,,79465.0,Portugal,,,,,2016,,,
Ayuntamiento de Madrid,125948386.0,3156572.0,Spain,,,,,2016,Decreased,,
Municipality of Hjørring,19088026316.0,65308.0,Denmark,,,,,2016,Decreased,,
Yilan County,,458777.0,Taiwan,,,,,2016,Stayed the same,,
Wellington City Council,18333000.0,203800.0,New Zealand,,,,,2016,Decreased,,
City of Hayward,,158985.0,USA,,,,,2016,Decreased,,
City of Salvador,4745.0,2902927.0,Brazil,,,,,2016,,,
City of Aspen and Pitkin County,566889555.0,8427.0,USA,,,,,2016,Decreased,,
City of Durham,,250815.0,USA,,,,,2016,Decreased,,
City of Windsor,12065940000.0,210891.0,Canada,,,,,2016,,,
Pingtung County Government,,840931.0,Taiwan,,,,,2016,Increased,,
"City of Hermosa Beach, CA",,19750.0,USA,,,,,2016,Decreased,,
Comune di Udine,,99528.0,Italy,,,,,2016,Stayed the same,,
Municipality of Porto Alegre,13798686254.0,1409351.0,Brazil,,,,,2016,,,
"City of Emeryville, CA",,10570.0,USA,,,,,2016,Decreased,,
City of Leicester,10420059749.0,333812.0,United Kingdom,,,,,2016,Decreased,,
Village of Kadiovacik,10000.0,216.0,Turkey,,,,,2016,Decreased,,
City of Athens,19951634580.0,664046.0,Greece,,,,,2016,This is our first year of calculation,,
Gladsaxe Kommune,35234000.0,66656.0,Denmark,,,,,2016,Decreased,,
City of Houston,517400000000.0,2195914.0,USA,,,,,2016,This is our first year of calculation,,
